elapsedDistance,engineSpeed,torque,brakePosition
241.5,3154.454663,61.22872539,0.0
242.0,3151.797985,61.27123225,0.0
242.5,3149.278898,61.31153763,0.0
243.0,3146.881628,61.34989395,0.0
243.5,3144.593848,61.38649843,0.0
244.0,3142.405592,61.42151052,0.0
244.5,3140.308591,61.45506254,0.0
245.0,3138.295846,61.48726647,0.0
245.5,3136.361337,61.51821861,0.0
246.0,3134.499819,61.5480029,0.0
246.5,3132.706672,61.57669324,0.0
247.0,3130.977789,61.60435537,0.0
247.5,3129.309489,61.63104817,0.0
248.0,3127.698451,61.65682479,0.0
248.5,3126.14166,61.68173344,0.0
249.0,3124.636367,61.70581812,0.0
249.5,3123.180052,61.72911918,0.0
250.0,3121.770392,61.75167373,0.0
250.5,3120.405244,61.77351609,0.0
251.0,3119.082621,61.79467807,0.0
251.5,3117.800673,61.81518923,0.0
252.0,3116.557677,61.83507717,0.0
252.5,3115.35202,61.85436768,0.0
253.0,3114.182193,61.87308491,0.0
253.5,3113.046777,61.89125157,0.0
254.0,3111.944436,61.90888903,0.0
254.5,3110.873912,61.92601741,0.0
255.0,3109.834016,61.94265575,0.0
255.5,3108.823623,61.95882203,0.0
256.0,3107.84167,61.97453329,0.0
256.5,3106.887144,61.9898057,0.0
257.0,3105.959086,62.00465462,0.0
257.5,3105.056583,62.01909467,0.0
258.0,3104.178766,62.03313974,0.0
258.5,3103.324806,62.0468031,0.0
259.0,3102.493913,62.06009739,0.0
259.5,3101.685331,62.0730347,0.0
260.0,3100.89834,62.08562657,0.0
260.5,3100.132247,62.09788405,0.0
261.0,3099.386392,62.10981773,0.0
261.5,3098.660141,62.12143774,0.0
262.0,3097.952887,62.1327538,0.0
262.5,3097.264046,62.14377526,0.0
263.0,3096.593059,62.15451106,0.0
263.5,3095.939387,62.16496982,0.0
264.0,3095.302512,62.17515981,0.0
264.5,3094.681937,62.185089,0.0
265.0,3098.322645,62.12683768,0.0
265.5,3106.185094,62.00103849,0.0
266.0,3114.010984,61.87582426,0.0
266.5,3121.800624,61.75119002,0.0
267.0,3129.554322,61.62713085,0.0
267.5,3137.272379,61.50364193,0.0
268.0,3144.955095,61.38071849,0.0
268.5,3152.602761,61.25835582,0.0
269.0,3160.215669,61.1365493,0.0
269.5,3167.794103,61.01529435,0.0
270.0,3175.338346,60.89458646,0.0
270.5,3182.848675,60.7744212,0.0
271.0,3190.325365,60.65479417,0.0
271.5,3197.768684,60.53570105,0.0
272.0,3205.178901,60.41713758,0.0
272.5,3212.556279,60.29909954,0.0
273.0,3219.901076,60.18158278,0.0
273.5,3227.21355,60.06458321,0.0
274.0,3234.493952,59.94809677,0.0
274.5,3241.742533,59.83211947,0.0
275.0,3248.959538,59.71664738,0.0
275.5,3256.145212,59.60167661,0.0
276.0,3263.299793,59.48720332,0.0
276.5,3270.423518,59.37322371,0.0
277.0,3277.516622,59.25973404,0.0
277.5,3284.579336,59.14673063,0.0
278.0,3291.611887,59.03420981,0.0
278.5,3298.6145,58.922168,0.0
279.0,3305.587398,58.81060163,0.0
279.5,3312.530801,58.69950719,0.0
280.0,3319.444925,58.5888812,0.0
280.5,3326.329984,58.47872025,0.0
281.0,3333.186191,58.36902094,0.0
281.5,3340.013755,58.25977993,0.0
282.0,3346.812881,58.15099391,0.0
282.5,3330.951301,58.40477918,100.0
283.0,3303.769078,58.83969475,100.0
283.5,3276.419576,59.27728678,100.0
284.0,3248.898421,59.71762526,100.0
284.5,3221.201065,60.16078297,100.0
285.0,3193.322767,60.60683572,100.0
285.5,3177.145025,60.86567961,0.0
286.0,3173.539598,60.92336643,0.0
286.5,3170.283622,60.97546205,0.0
287.0,3167.26676,61.02373183,0.0
287.5,3164.438922,61.06897725,0.0
288.0,3161.769581,61.1116867,0.0
288.5,3159.237623,61.15219804,0.0
289.0,3156.827324,61.19076281,0.0
289.5,3154.526403,61.22757755,0.0
290.0,3152.324925,61.2628012,0.0
290.5,3150.214648,61.29656563,0.0
291.0,3148.188597,61.32898245,0.0
291.5,3146.24077,61.36014768,0.0
292.0,3144.365939,61.39014498,0.0
292.5,3142.559498,61.41904804,0.0
293.0,3140.81735,61.4469224,0.0
293.5,3139.135826,61.47382678,0.0
294.0,3137.511614,61.49981417,0.0
294.5,3135.941708,61.52493267,0.0
295.0,3134.423366,61.54922615,0.0
295.5,3132.954071,61.57273486,0.0
296.0,3131.53151,61.59549584,0.0
296.5,3128.261639,61.64781378,26.26896004
297.0,3117.484699,61.82024482,28.65848503
297.5,3106.120475,62.0020724,30.95009494
298.0,3094.186505,62.19301593,33.15808706
298.5,3081.696985,62.39284823,35.29299686
299.0,3068.663583,62.60138266,37.36282406
299.5,3055.095979,62.81846433,39.37379008
300.0,3041.002252,63.04396397,41.33082857
300.5,3026.389159,63.27777346,43.23791555
301.0,3011.262342,63.51980252,45.09829897
301.5,2995.626486,63.83689098,46.9146626
302.0,2979.485435,64.3421059,48.68924595
302.5,2962.842284,64.8630365,50.42393371
303.0,2945.699458,65.39960696,52.12032366
303.5,2929.959517,65.89226712,39.25549093
304.0,2915.555919,66.34309973,41.34885645
304.5,2900.571651,66.81210734,43.38670093
305.0,2885.01293,67.29909529,45.37273365
305.5,2868.884805,67.8039056,47.30997849
306.0,2852.191304,68.3264122,49.20092675
306.5,2834.935546,68.86651742,51.0476496
307.0,2817.119832,69.42414926,52.85188221
307.5,2798.745708,69.99925933,54.6150879
308.0,2779.814017,70.59182127,56.33850788
308.5,2760.324932,71.20182963,58.02320012
309.0,2740.277985,71.82929906,59.6700704
309.5,2719.672085,72.47426374,61.2798971
310.0,2698.505522,73.13677718,62.85335139
310.5,2676.775972,73.81691208,64.39101374
311.0,2654.480493,74.51476056,65.89338753
311.5,2631.615514,75.2304344,67.36091037
312.0,2608.176817,75.96406564,68.79396363
312.5,2584.159514,76.71580722,70.19288041
313.0,2559.558023,77.48583389,71.55795233
313.5,2534.36603,78.27434325,72.88943534
314.0,2508.576452,79.08155706,74.18755463
314.5,2482.181383,79.90772272,75.45250896
315.0,2455.172045,80.75311498,76.68447435
315.5,2427.538725,81.61803791,77.88360723
316.0,2399.270695,82.50282725,79.05004733
316.5,2370.356137,83.40785292,80.18392007
317.0,2340.782042,84.33352208,81.28533875
317.5,2310.534106,85.28028247,82.3544064
318.0,2293.273194,85.82054904,0.0
318.5,2289.984587,85.92348243,0.0
