speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,kW,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N
44.99345307,0.763722845,11,16.63520112,-0.061171864,1,4.2,2469.286366,155.1278226,40.11342761,7.497817848,134.9607213,94.56662217,95.79501509,0,9.39,1,45.12650737,1.4,1.7,12.1743215,11.96056209,0.031525329,1.49945709,-11.54111084,0,2224.557818
44.98994849,0.783725755,11.25,16.63260976,-0.048667594,1,4.2,2469.094032,155.1380163,40.11293887,7.496649871,134.9396977,94.47525549,95.79594638,0,9.39,1,45.12650737,1.4,1.7,13.61011944,11.96669999,0.03213329,1.583224289,-11.79081207,0,2224.55665
44.98714951,0.803730224,11.5,16.63054028,-0.038866089,1,4.2,2468.940421,155.1461577,40.11254823,7.495717114,134.9229081,94.40366368,95.79669005,0,9.39,1,45.12650737,1.4,1.7,15.04677614,11.97328608,0.03447697,1.67316646,-12.03818348,0,2224.555717
44.98490763,0.823735936,11.75,16.62888279,-0.031128331,1,4.2,2468.817384,155.1526787,40.11223516,7.494970053,134.9094609,94.3471622,95.79728561,0,9.39,1,45.12650737,1.4,1.7,16.48434216,11.98040222,0.037249398,1.76921967,-12.28306222,0,2224.55497
44.98310797,0.843742646,12,16.62755232,-0.024986795,1,4.2,2468.718617,155.1579133,40.11198372,7.494370382,134.8986669,94.30232678,95.79776365,0,9.39,1,45.12650737,1.4,1.7,17.92286781,11.98805326,0.040047285,1.871315694,-12.52528716,0,2224.55437
44.98166081,0.863750157,12.25,16.62648248,-0.020091971,1,4.2,2468.639195,155.1621227,40.11178145,7.493888182,134.8899873,94.2665994,95.79814802,0,9.39,1,45.12650737,1.4,1.7,19.36240316,11.99622289,0.042760031,1.979382057,-12.76469903,0,2224.553888
44.9804955,0.883758311,12.5,16.62562103,-0.016178207,1,4.2,2468.575242,155.1655122,40.11161852,7.49349991,134.8829984,94.23803702,95.79845751,0,9.39,1,45.12650737,1.4,1.7,20.80299797,12.00489119,0.045368623,2.09334209,-13.00114057,0,2224.5535
44.97955615,0.903766983,12.75,16.62492663,-0.013040966,1,4.2,2468.523689,155.1682445,40.11148715,7.49318693,134.8773647,94.21514437,95.79870698,0,9.39,1,45.12650737,1.4,1.7,22.24470173,12.01403961,0.047880262,2.21311498,-13.23445657,0,2224.553187
44.97879828,0.923776074,13,16.6243664,-0.010521171,1,4.2,2468.482097,155.1704489,40.11138114,7.492934424,134.8728196,94.19675903,95.79890824,0,9.39,1,45.12650737,1.4,1.7,23.6875636,12.02365204,0.050307698,2.338615829,-13.46449405,0,2224.552934
44.97818641,0.943785501,13.25,16.62391411,-0.008494105,1,4.2,2468.448517,155.1722286,40.11129554,7.492730567,134.8691502,94.18196995,95.79907072,0,9.39,1,45.12650737,1.4,1.7,25.13163241,12.0337147,0.052663129,2.469755712,-13.6911023,0,2224.552731
44.97769216,0.963795201,13.5,16.62354876,-0.006861365,1,4.2,2468.421392,155.1736662,40.11122639,7.492565895,134.8661861,94.17005854,95.79920196,0,9.39,1,45.12650737,1.4,1.7,26.57695664,12.04421575,0.054956734,2.606441742,-13.91413306,0,2224.552566
44.97729272,0.98380512,13.75,16.6232535,-0.005544923,1,4.2,2468.39947,155.1748281,40.11117049,7.492432818,134.8637907,94.16045511,95.79930802,0,9.39,1,45.12650737,1.4,1.7,28.02358438,12.05514491,0.057196597,2.748577133,-14.13344055,0,2224.552433
44.97696981,1.003815217,14,16.62301481,-0.00448265,1,4.2,2468.381748,155.1757673,40.1111253,7.492325234,134.8618542,94.15270616,95.79939377,0,9.39,1,45.12650737,1.4,1.7,29.47156333,12.0664931,0.05938899,2.896061269,-14.34888162,0,2224.552325
44.97670868,1.023825458,14.25,16.62282179,-0.003624919,1,4.2,2468.367418,155.1765269,40.11108876,7.492238237,134.8602883,94.14644948,95.7994631,0,9.39,1,45.12650737,1.4,1.7,30.92094077,12.07825215,0.061538706,3.048789776,-14.56031584,0,2224.552238
44.97649747,1.043835815,14.5,16.62266567,-0.002931986,1,4.2,2468.355826,155.1771412,40.11105919,7.492167869,134.8590216,94.14139504,95.79951919,0,9.39,1,45.12650737,1.4,1.7,32.37176353,12.09041457,0.063649348,3.206654591,-14.7676056,0,2224.552168
44.9763266,1.063846266,14.75,16.62253936,-0.002371953,1,4.2,2468.346448,155.1776382,40.11103528,7.492110942,134.857997,94.13731011,95.79956455,0,9.39,1,45.12650737,1.4,1.7,33.82407797,12.10297341,0.06572356,3.369544042,-14.97061618,0,2224.552111
44.97618835,1.083856793,15,16.62243717,-0.001919178,1,4.2,2468.338861,155.1780404,40.11101592,7.492064882,134.8571679,94.13400758,95.79960126,0,9.39,1,45.12650737,1.4,1.7,35.27792996,12.11592204,0.067763221,3.537342928,-15.16921591,0,2224.552065
