Section Length,Cumulative Length,Radius
29.13,9717.78,20.63
10.25,9728.03,10.21
78.13,9806.16,0
10.04,9816.2,7.44
16.01,9832.21,11.78
16.68,9848.89,0
7.21,9856.1,9.13
6.61,9862.71,4.05
6.68,9869.39,0
14.26,9883.65,12.32
7.29,9890.94,3.92
9.05,9899.99,29.42
20.96,9920.95,0
32.25,9953.2,33.4
22.99,9976.19,17.72
17.05,9993.24,15.49
12.19,10005.43,5.52
95.71,10101.14,0
4.28,10105.42,6.38
8.89,10114.31,7.09
9.5,10123.81,7.92
7.5,10131.31,8.7
10.67,10141.98,36.5
31.55,10173.53,0
5.2,10178.73,3.71
31.33,10210.06,14.33
7.22,10217.28,0
4,10221.28,6.58
5.99,10227.27,20.92
29.12,10256.39,0
4.91,10261.3,8.51
10,10271.3,8.13
9.8,10281.1,8.49
9.09,10290.19,7.79
5.22,10295.41,0
9.72,10305.13,8.45
8.69,10313.82,0
12.37,10326.19,10.03
7.28,10333.47,0
12.91,10346.38,8.2
3.65,10350.03,0
9.96,10359.99,6.86
6.51,10366.5,0
7.13,10373.63,7.01
5.38,10379.01,4.79
17.79,10396.8,0
9.92,10406.72,9.39
9.94,10416.66,0
15.32,10431.98,13.24
8.08,10440.06,0
14.53,10454.59,13.3
10.52,10465.11,0
12.98,10478.09,15.07
11.78,10489.87,0
10,10499.87,23.56
63.85,10563.72,0
18.74,10582.46,31.72
26.59,10609.05,21.5
18.13,10627.18,0
25.64,10652.82,22.09
20.28,10673.1,0
18.34,10691.44,22.23
14.41,10705.85,20.43
10.71,10716.56,11.57
11.77,10728.33,15.09
29.13,10757.46,20.63
10.25,10767.71,10.21
78.13,10845.84,0
10.04,10855.88,7.44
16.01,10871.89,11.78
16.68,10888.57,0
7.21,10895.78,9.13
6.61,10902.39,4.05
6.68,10909.07,0
14.26,10923.33,12.32
7.29,10930.62,3.92
9.05,10939.67,29.42
20.96,10960.63,0
32.25,10992.88,33.4
22.99,11015.87,17.72
17.05,11032.92,15.49
12.19,11045.11,5.52
95.71,11140.82,0
4.28,11145.1,6.38
8.89,11153.99,7.09
9.5,11163.49,7.92
7.5,11170.99,8.7
10.67,11181.66,36.5
31.55,11213.21,0
5.2,11218.41,3.71
31.33,11249.74,14.33
7.22,11256.96,0
4,11260.96,6.58
5.99,11266.95,20.92
29.12,11296.07,0
4.91,11300.98,8.51
10,11310.98,8.13
9.8,11320.78,8.49
9.09,11329.87,7.79
5.22,11335.09,0
9.72,11344.81,8.45
8.69,11353.5,0
12.37,11365.87,10.03
7.28,11373.15,0
12.91,11386.06,8.2
3.65,11389.71,0
9.96,11399.67,6.86
6.51,11406.18,0
7.13,11413.31,7.01
5.38,11418.69,4.79
17.79,11436.48,0
9.92,11446.4,9.39
9.94,11456.34,0
15.32,11471.66,13.24
8.08,11479.74,0
14.53,11494.27,13.3
10.52,11504.79,0
12.98,11517.77,15.07
11.78,11529.55,0
10,11539.55,23.56
63.85,11603.4,0
18.74,11622.14,31.72
26.59,11648.73,21.5
18.13,11666.86,0
25.64,11692.5,22.09
20.28,11712.78,0
18.34,11731.12,22.23
14.41,11745.53,20.43
10.71,11756.24,11.57
11.77,11768.01,15.09
29.13,11797.14,20.63
10.25,11807.39,10.21
78.13,11885.52,0
10.04,11895.56,7.44
16.01,11911.57,11.78
16.68,11928.25,0
7.21,11935.46,9.13
6.61,11942.07,4.05
6.68,11948.75,0
14.26,11963.01,12.32
7.29,11970.3,3.92
9.05,11979.35,29.42
20.96,12000.31,0
32.25,12032.56,33.4
22.99,12055.55,17.72
17.05,12072.6,15.49
12.19,12084.79,5.52
95.71,12180.5,0
4.28,12184.78,6.38
8.89,12193.67,7.09
9.5,12203.17,7.92
7.5,12210.67,8.7
10.67,12221.34,36.5
31.55,12252.89,0
5.2,12258.09,3.71
31.33,12289.42,14.33
7.22,12296.64,0
4,12300.64,6.58
5.99,12306.63,20.92
29.12,12335.75,0
4.91,12340.66,8.51
10,12350.66,8.13
9.8,12360.46,8.49
9.09,12369.55,7.79
5.22,12374.77,0
9.72,12384.49,8.45
8.69,12393.18,0
12.37,12405.55,10.03
7.28,12412.83,0
12.91,12425.74,8.2
3.65,12429.39,0
9.96,12439.35,6.86
6.51,12445.86,0
7.13,12452.99,7.01
5.38,12458.37,4.79
17.79,12476.16,0
