Type,Section Length,Cumulative Length,Radius
Right,5.011,5037.707,152.367
Right,5.058,5042.765,160.014
Right,5.103,5047.868,165.892
Right,5.144,5053.012,170.746
Right,5.183,5058.195,176.692
Right,5.225,5063.42,179.544
Right,5.267,5068.687,181.25
Right,5.308,5073.995,182.956
Right,5.35,5079.345,185.84
Right,5.389,5084.734,183.867
Right,5.431,5090.165,186.721
Right,5.469,5095.634,190.589
Right,5.506,5101.14,190.73
Right,5.542,5106.682,192.054
Right,5.581,5112.263,195.962
Right,5.619,5117.882,201.186
Right,5.653,5123.535,203.58
Right,5.681,5129.216,210.857
Right,5.7,5134.916,215.06
Right,5.725,5140.641,222.736
Right,5.756,5146.397,231.288
Right,5.789,5152.186,238.883
Right,5.819,5158.005,243.112
Right,5.85,5163.855,254.637
Right,5.883,5169.738,265.293
Right,5.911,5175.649,271.893
Right,5.939,5181.588,283.099
Right,5.972,5187.56,293.212
Right,5.997,5193.557,298.075
Right,6.025,5199.582,303.309
Right,6.056,5205.638,314.117
Right,6.086,5211.724,325.501
Right,6.111,5217.835,336.894
Right,6.139,5223.974,349.235
Right,6.167,5230.141,362.283
Right,6.194,5236.335,372.517
Right,6.222,5242.557,390.752
Right,6.247,5248.804,418.776
Right,6.272,5255.076,466.311
Right,6.297,5261.373,524.975
Right,6.325,5267.698,647.309
Right,6.35,5274.048,761.175
Right,6.375,5280.423,963.436
Right,6.397,5286.82,1191.916
Right,6.425,5293.245,1618.467
Right,6.45,5299.695,1843.837
Straight,65.803,5365.498,0
Right,6.686,5372.184,1898.746
Right,6.697,5378.881,1905.062
Straight,33.739,5412.62,0
Right,6.8,5419.42,1812.907
Right,6.819,5426.239,1693.055
Right,6.836,5433.075,1701.34
Right,6.85,5439.925,1771.529
Right,6.867,5446.792,1922.573
Straight,20.7,5467.492,0
Right,6.933,5474.425,1960.086
Straight,280.697,5755.122,0
,639.158,6394.28,0
,3.869,6398.149,1526.259
,3.714,6401.863,1004.294
,3.561,6405.424,807.945
,3.411,6408.835,741.315
,3.278,6412.113,644.23
,3.147,6415.26,480.802
,3.039,6418.299,313.79
,2.936,6421.235,191.037
,2.853,6424.088,127.63
,2.758,6426.846,91.244
,2.678,6429.524,68.956
,2.592,6432.116,55.665
,2.514,6434.63,48.075
,2.428,6437.058,42.916
,2.356,6439.414,39.832
,2.283,6441.697,35.909
,2.211,6443.908,33.448
,2.136,6446.044,31.217
,2.075,6448.119,26.125
,2.031,6450.15,24.579
,2.019,6452.169,29.276
,2.003,6454.172,25.24
,1.958,6456.13,24.743
,1.917,6458.047,26.941
,1.9,6459.947,24.697
,1.908,6461.855,23.202
,1.931,6463.786,29.915
,1.964,6465.75,41.385
,1.992,6467.742,91.899
,2.014,6469.756,165.372
,2.028,6471.784,59.036
,2.025,6473.809,34.263
,2.011,6475.82,28.239
,1.989,6477.809,25.683
,1.958,6479.767,25.06
,1.925,6481.692,23.462
,1.892,6483.584,23.998
,1.864,6485.448,22.848
,1.842,6487.29,24.521
,1.825,6489.115,22.634
,1.825,6490.94,24.425
,1.833,6492.773,22.995
,1.856,6494.629,25.25
,1.878,6496.507,24.619
,1.914,6498.421,26.863
,1.958,6500.379,26.776
,2.014,6502.393,30.399
,2.058,6504.451,34.276
,2.106,6506.557,37.977
,2.172,6508.729,40.083
,2.247,6510.976,45.963
,2.319,6513.295,57.727
,2.394,6515.689,61.52
,2.503,6518.192,74.247
,2.608,6520.8,110.082
,2.697,6523.497,154.498
,2.781,6526.278,183.284
,2.872,6529.15,233.596
,2.972,6532.122,360.208
,3.061,6535.183,502.731
,3.153,6538.336,1125.836
,3.242,6541.578,0
,3.336,6544.914,1890.866
,3.422,6548.336,1193.844
,3.508,6551.844,896.199
,3.592,6555.436,939.28
,3.672,6559.108,808.612
,3.744,6562.852,752.233
,3.806,6566.658,671.034
,3.867,6570.525,564.47
,3.922,6574.447,475.205
,3.989,6578.436,450.539
,4.058,6582.494,441.817
,4.122,6586.616,455.838
,4.183,6590.799,482.141
,4.244,6595.043,496.331
,4.308,6599.351,473.031
,4.367,6603.718,431.935
,4.428,6608.146,399.699
,4.489,6612.635,366.793
,4.547,6617.182,369.784
,4.603,6621.785,385.641
,4.661,6626.446,410.125
,4.719,6631.165,428.388
,4.772,6635.937,438.023
,4.817,6640.754,437.956
,4.856,6645.61,407.34
,4.897,6650.507,400.775
,4.942,6655.449,401.501
,4.986,6660.435,415.456
,5.033,6665.468,437.714
,5.078,6670.546,469.343
,5.122,6675.668,495.284
,5.167,6680.835,533.558
,5.211,6686.046,576.701
,5.256,6691.302,599.06
,5.297,6696.599,608.597
,5.339,6701.938,581.116
,5.381,6707.319,556.813
,5.422,6712.741,554.999
,5.467,6718.208,574.778
,5.508,6723.716,606.459
,5.544,6729.26,652.839
,5.586,6734.846,691.5
,5.625,6740.471,701.162
,5.664,6746.135,641.195
,5.703,6751.838,625.501
,5.739,6757.577,610.413
,5.772,6763.349,628.96
,5.794,6769.143,611.176
,5.808,6774.951,625.275
,5.828,6780.779,629.469
,5.858,6786.637,603.186
,5.892,6792.529,570.71
,5.922,6798.451,510.743
,5.953,6804.404,475.288
,5.983,6810.387,439.683
,6.017,6816.404,419.334
,6.047,6822.451,405.187
,6.075,6828.526,404.521
,6.106,6834.632,391.751
,6.133,6840.765,383.464
,6.164,6846.929,368.851
,6.189,6853.118,351.749
,6.217,6859.335,342.569
,6.247,6865.582,340.031
,6.269,6871.851,339.553
,6.294,6878.145,336.562
,6.322,6884.467,342.392
,6.347,6890.814,348.03
,6.375,6897.189,336.811
,6.394,6903.583,325.632
,6.422,6910.005,313.759
,6.447,6916.452,307.042
,6.469,6922.921,290.234
,6.494,6929.415,284.733
,6.517,6935.932,286.685
,6.539,6942.471,294.495
,6.558,6949.029,290.363
,6.581,6955.61,300.289
,6.603,6962.213,315.185
,6.622,6968.835,321.606
,6.636,6975.471,327.671
,6.661,6982.132,330.144
,6.672,6988.804,336.154
,6.686,6995.49,325.499
,6.7,7002.19,313.421
,6.711,7008.901,306.076
,6.733,7015.634,308.106
,6.747,7022.381,313.559
,6.758,7029.139,332.569
,6.778,7035.917,346.874
,6.794,7042.711,359.226
,6.814,7049.525,369.752
,6.828,7056.353,368.383
,6.842,7063.195,364.237
,6.861,7070.056,366.31
,6.872,7076.928,364.713
,6.889,7083.817,369.282
,6.903,7090.72,373.625
,6.919,7097.639,375.431
,6.933,7104.572,382.829
,6.95,7111.522,387.701
,6.961,7118.483,382.912
,6.975,7125.458,375.704
,6.989,7132.447,383.005
,7.003,7139.45,390.537
,7.014,7146.464,397.996
,7.028,7153.492,409.319
,7.042,7160.534,424.752
,7.053,7167.587,433.377
,7.064,7174.651,442.304
,7.078,7181.729,455.939
,7.089,7188.818,478.744
,7.1,7195.918,494.099
,7.114,7203.032,496.034
,7.122,7210.154,492.462
,7.133,7217.287,494
,7.15,7224.437,501.083
,7.161,7231.598,507.522
,7.169,7238.767,540.17
,7.181,7245.948,583.989
,7.186,7253.134,634.221
,7.2,7260.334,686.286
,7.211,7267.545,736.212
,7.222,7274.767,770.59
,7.231,7281.998,845.929
,7.242,7289.24,937.85
,7.256,7296.496,1095.157
,7.264,7303.76,1344.65
,7.272,7311.032,1633.621
,283.808,7594.84,0
,4.297,7599.137,1568.648
,4.139,7603.276,1247.299
,3.983,7607.259,851.277
,3.839,7611.098,600.9
,3.706,7614.804,399.917
,3.575,7618.379,245.814
,3.436,7621.815,182.357
,3.297,7625.112,116.655
,3.119,7628.231,86.256
,2.925,7631.156,66.575
,2.733,7633.889,55.187
,2.419,7636.308,40.048
,2.344,7638.652,36.382
,2.475,7641.127,41.081
,2.586,7643.713,43.424
,2.594,7646.307,43.427
,2.581,7648.888,43.795
,2.586,7651.474,44.852
,2.553,7654.027,43.993
,2.525,7656.552,41.93
,2.511,7659.063,43.727
,2.511,7661.574,39.924
,2.522,7664.096,42.109
,2.536,7666.632,44.602
,2.567,7669.199,67.832
,2.619,7671.818,139.888
,2.708,7674.526,241.198
,2.8,7677.326,87.822
,2.842,7680.168,59.219
,2.842,7683.01,49.888
,2.822,7685.832,49.207
,2.808,7688.64,51.207
,2.828,7691.468,51.918
,2.85,7694.318,48.705
,2.9,7697.218,53.918
,2.944,7700.162,55.935
,2.992,7703.154,55.972
,3.028,7706.182,58.774
,3.089,7709.271,67.076
,3.156,7712.427,69.05
,3.219,7715.646,71.875
,3.278,7718.924,86.236
,3.336,7722.26,96.967
,3.403,7725.663,113.492
,3.472,7729.135,153.623
,3.539,7732.674,223.97
,3.597,7736.271,338.221
,3.661,7739.932,803.726
,3.731,7743.663,0
,3.792,7747.455,915.949
,3.847,7751.302,628.658
,3.908,7755.21,502.288
,3.978,7759.188,460.833
,4.047,7763.235,491.096
,4.111,7767.346,506.723
,4.178,7771.524,539.148
,4.242,7775.766,591.619
,4.308,7780.074,727.74
,4.372,7784.446,847.242
,4.433,7788.879,954.053
,4.494,7793.373,1143.959
,4.558,7797.931,1245.932
,4.617,7802.548,1357.901
,4.669,7807.217,1481.734
,4.714,7811.931,1510.075
,4.756,7816.687,1773.332
,4.803,7821.49,1959.452
,105.844,7927.334,0
,5.733,7933.067,1763.566
,5.769,7938.836,1475.269
,5.797,7944.633,1105.119
,5.814,7950.447,650.113
