elapsedDistance,brakePosition,engineSpeed,torque
202.5,0.0,3088.352533,100.0
203.0,0.0,3086.769293,100.0
203.5,0.0,3085.241522,100.0
204.0,0.0,3083.766311,100.0
204.5,0.0,3082.340999,100.0
205.0,0.0,3080.963142,100.0
205.5,0.0,3079.63049,100.0
206.0,0.0,3078.340958,100.0
206.5,0.0,3077.092613,100.0
207.0,0.0,3075.883653,100.0
207.5,0.0,3074.712398,100.0
208.0,0.0,3073.577277,100.0
208.5,0.0,3072.476813,100.0
209.0,0.0,3071.409622,100.0
209.5,0.0,3070.374398,100.0
210.0,0.0,3069.369912,100.0
210.5,0.0,3068.395001,100.0
211.0,0.0,3067.448564,100.0
211.5,0.0,3066.529559,100.0
212.0,0.0,3065.636998,100.0
212.5,0.0,3064.76994,100.0
213.0,0.0,3063.927492,100.0
213.5,0.0,3063.108803,100.0
214.0,0.0,3062.313061,100.0
214.5,0.0,3061.539494,100.0
215.0,0.0,3060.787361,100.0
215.5,0.0,3060.055956,100.0
216.0,0.0,3059.344604,100.0
216.5,0.0,3058.652656,100.0
217.0,0.0,3057.979494,100.0
217.5,0.0,3057.324522,100.0
218.0,0.0,3056.687171,100.0
218.5,0.0,3056.066892,100.0
219.0,0.0,3055.46316,100.0
219.5,0.0,3054.875469,100.0
220.0,0.0,3054.303333,100.0
220.5,0.0,3053.746284,100.0
221.0,0.0,3053.20387,100.0
221.5,0.0,3061.27892,100.0
222.0,0.0,3069.315564,100.0
222.5,0.0,3077.314141,100.0
223.0,0.0,3085.274983,100.0
223.5,0.0,3093.19842,100.0
224.0,0.0,3101.084773,100.0
224.5,0.0,3108.934362,100.0
225.0,0.0,3116.747501,100.0
225.5,0.0,3124.524499,100.0
226.0,0.0,3132.265661,100.0
226.5,0.0,3139.971288,100.0
227.0,0.0,3147.641676,100.0
227.5,0.0,3155.277117,100.0
228.0,0.0,3162.8779,100.0
228.5,0.0,3170.444309,100.0
229.0,0.0,3177.976624,100.0
229.5,0.0,3185.475122,100.0
230.0,0.0,3192.940076,100.0
230.5,0.0,3200.371754,100.0
231.0,0.0,3207.770422,100.0
231.5,0.0,3215.136342,100.0
232.0,0.0,3222.469772,100.0
232.5,0.0,3229.770967,100.0
233.0,0.0,3237.040179,100.0
233.5,0.0,3244.277656,100.0
234.0,0.0,3251.483644,100.0
234.5,0.0,3258.658383,100.0
235.0,0.0,3265.802114,100.0
235.5,0.0,3272.915072,100.0
236.0,0.0,3279.99749,100.0
236.5,0.0,3287.049597,100.0
237.0,100.0,3294.021406,100.0
237.5,100.0,3266.611114,100.0
238.0,100.0,3239.027565,100.0
238.5,100.0,3211.266145,100.0
239.0,100.0,3183.322044,100.0
239.5,0.0,3167.114579,100.0
240.0,0.0,3163.519578,100.0
240.5,0.0,3160.275006,100.0
241.0,0.0,3157.270126,100.0
241.5,0.0,3154.454663,100.0
242.0,0.0,3151.797985,100.0
242.5,0.0,3149.278898,100.0
243.0,0.0,3146.881628,100.0
243.5,0.0,3144.593848,100.0
244.0,0.0,3142.405592,100.0
244.5,0.0,3140.308591,100.0
245.0,0.0,3138.295846,100.0
245.5,0.0,3136.361337,100.0
246.0,0.0,3134.499819,100.0
246.5,0.0,3132.706672,100.0
247.0,0.0,3130.977789,100.0
247.5,0.0,3129.309489,100.0
248.0,0.0,3127.698451,100.0
248.5,0.0,3126.14166,100.0
249.0,0.0,3124.636367,100.0
249.5,0.0,3123.180052,100.0
250.0,0.0,3121.770392,100.0
250.5,0.0,3120.405244,100.0
251.0,0.0,3119.082621,100.0
251.5,0.0,3117.800673,100.0
252.0,0.0,3116.557677,100.0
252.5,0.0,3115.35202,100.0
253.0,0.0,3114.182193,100.0
253.5,0.0,3113.046777,100.0
254.0,0.0,3111.944436,100.0
254.5,0.0,3110.873912,100.0
255.0,0.0,3109.834016,100.0
255.5,0.0,3108.823623,100.0
256.0,0.0,3107.84167,100.0
256.5,0.0,3106.887144,100.0
257.0,0.0,3105.959086,100.0
257.5,0.0,3105.056583,100.0
258.0,0.0,3104.178766,100.0
258.5,0.0,3103.324806,100.0
259.0,0.0,3102.493913,100.0
259.5,0.0,3101.685331,100.0
260.0,0.0,3100.89834,100.0
260.5,0.0,3100.132247,100.0
261.0,0.0,3099.386392,100.0
261.5,0.0,3098.660141,100.0
262.0,0.0,3097.952887,100.0
262.5,0.0,3097.264046,100.0
