Elapsed Time,Voltage,Adjusted SoC
11400.579,3.95529,82.967852
11410.579,3.95367,82.828962
11420.579,3.9527,82.690081
11430.579,3.95141,82.551209
11440.579,3.95044,82.412304
11450.579,3.94882,82.273432
11460.579,3.94785,82.134532
11470.579,3.9472,81.995658
11480.579,3.94591,81.856754
11490.579,3.94462,81.717869
11500.579,3.94364,81.578994
11510.579,3.94267,81.440111
11520.579,3.9417,81.301226
11530.579,3.94106,81.162317
11540.579,3.94009,81.023427
11550.579,3.93912,80.88454
11560.579,3.93815,80.745673
11570.579,3.93718,80.60679
11580.579,3.93653,80.467878
11590.579,3.93588,80.328997
11600.579,3.93491,80.190092
11610.579,3.93394,80.051219
11620.579,3.93297,79.912327
11630.579,3.93232,79.773426
11640.579,3.93168,79.63455
11650.579,3.93103,79.495673
11660.579,3.93006,79.356776
11670.579,3.92941,79.21787
11680.579,3.92844,79.078999
11690.579,3.9278,78.940097
11700.579,3.92683,78.801193
11710.579,3.92618,78.662306
11720.579,3.92553,78.523393
11730.579,3.92489,78.384502
11740.579,3.92392,78.245606
11750.579,3.92327,78.106737
11760.579,3.92262,77.96785
11770.579,3.92197,77.828979
11780.579,3.92133,77.690087
11790.579,3.92036,77.551201
11800.579,3.91971,77.412334
11810.579,3.91906,77.273439
11820.579,3.91809,77.134546
11830.579,3.91745,76.995672
11840.579,3.9168,76.856769
11850.579,3.91583,76.717893
11860.579,3.91551,76.578985
11870.579,3.91454,76.440109
11880.579,3.91389,76.301222
11890.579,3.91324,76.162327
11900.579,3.9126,76.023414
11910.579,3.91162,75.884519
11920.579,3.91065,75.745614
11930.579,3.91033,75.606721
11940.579,3.90936,75.467837
11950.579,3.90871,75.328926
11960.579,3.90774,75.190019
11970.579,3.90677,75.051106
11980.579,3.90613,74.91221
11990.579,3.90548,74.773331
12000.579,3.90451,74.634441
12010.579,3.90386,74.495551
12020.579,3.90289,74.356664
12030.579,3.90225,74.217788
12040.579,3.90127,74.078878
12050.579,3.9003,73.940005
12060.579,3.89966,73.801136
12070.579,3.89869,73.662229
12080.579,3.89804,73.523353
12090.579,3.89707,73.384465
12100.579,3.8961,73.245587
12110.579,3.89513,73.106681
12120.579,3.89448,72.967782
12130.579,3.89351,72.828896
