Segment Length,Cumulative Length,Radius
7.577,7242.885,311.319
7.586,7250.471,315.409
7.6,7258.071,308.239
7.613,7265.684,310.956
7.622,7273.306,316.687
7.64,7280.946,316.483
7.649,7288.595,318.92
7.658,7296.253,326.654
7.671,7303.924,333.262
7.685,7311.609,334.428
7.694,7319.303,335.207
7.711,7327.014,340.551
7.72,7334.734,339.434
7.734,7342.468,342.528
7.743,7350.211,343.32
7.756,7357.967,354.468
7.765,7365.732,363.694
7.77,7373.502,379.847
7.778,7381.28,411.179
7.792,7389.072,442.069
7.805,7396.877,470.477
7.828,7404.705,503.703
7.846,7412.551,536.281
7.854,7420.405,561.499
7.854,7428.259,635.232
7.863,7436.122,716.263
7.872,7443.994,842.328
7.881,7451.875,1055.303
7.899,7459.774,1298.078
7.917,7467.691,1558.393
7.926,7475.617,1940.561
616.745,8092.362,0
196.148,8288.51,0
8.918,8297.428,1842.71
8.825,8306.253,1301.332
8.713,8314.966,979.536
8.641,8323.607,792.896
8.57,8332.177,712.982
8.503,8340.68,669.965
8.427,8349.107,634.953
8.351,8357.458,623.552
8.279,8365.737,646.967
8.226,8373.963,669.61
8.167,8382.13,660.182
8.118,8390.248,645.985
8.06,8398.308,591.285
8.015,8406.323,532.45
7.966,8414.289,472.192
7.917,8422.206,423.14
7.872,8430.078,389.967
7.828,8437.906,374.007
7.783,8445.689,350.84
7.738,8453.427,333.555
7.707,8461.134,329.064
7.662,8468.796,328.832
7.609,8476.405,312.235
7.573,8483.978,306.067
7.542,8491.52,305.141
7.51,8499.03,299.462
7.475,8506.505,293.558
7.461,8513.966,300.244
7.47,8521.436,304.183
7.488,8528.924,302.407
7.483,8536.407,298.883
7.475,8543.882,289.088
7.461,8551.343,274.136
7.457,8558.8,280.585
7.452,8566.252,288.828
7.448,8573.7,289.961
7.457,8581.157,293.669
7.461,8588.618,305.087
7.461,8596.079,303.455
7.466,8603.545,294.374
7.461,8611.006,292.506
7.452,8618.458,294.845
7.452,8625.91,291.805
7.443,8633.353,291.106
7.43,8640.783,288.57
7.443,8648.226,297.234
7.461,8655.687,295.553
7.483,8663.17,302.046
7.501,8670.671,310.053
7.501,8678.172,315.164
7.506,8685.678,319.046
7.519,8693.197,321.975
7.537,8700.734,318.176
7.551,8708.285,314.131
7.564,8715.849,318.694
7.573,8723.422,319.447
7.586,8731.008,318.838
7.591,8738.599,333.723
7.604,8746.203,336.817
7.622,8753.825,340.348
7.631,8761.456,343.119
7.653,8769.109,349.169
7.662,8776.771,349.985
7.667,8784.438,363.135
7.685,8792.123,385.879
7.694,8799.817,413.269
7.698,8807.515,454.191
7.707,8815.222,513.117
7.725,8822.947,568.496
7.734,8830.681,648.617
7.738,8838.419,744.396
7.756,8846.175,851.707
7.774,8853.949,993.645
7.778,8861.727,1258.711
7.805,8869.532,1634.288
63.055,8932.587,0
7.944,8940.531,1891.994
7.957,8948.488,1265.592
7.966,8956.454,898.476
7.98,8964.434,676.128
7.993,8972.427,556.638
8.015,8980.442,496.147
8.024,8988.466,462.237
8.029,8996.495,443.992
8.006,9004.501,441.523
7.962,9012.463,430.785
7.908,9020.371,400.943
7.85,9028.221,383.027
7.805,9036.026,371.874
7.761,9043.787,361.139
7.725,9051.512,357.818
7.685,9059.197,356.196
7.658,9066.855,349.577
7.627,9074.482,350.829
7.595,9082.077,343.886
7.564,9089.641,324.005
7.533,9097.174,310.964
7.497,9104.671,313.068
7.479,9112.15,306.551
7.466,9119.616,291.355
7.466,9127.082,295.907
7.466,9134.548,299.022
7.434,9141.982,287.443
7.399,9149.381,284.684
7.376,9156.757,287.365
7.358,9164.115,285.974
7.345,9171.46,284.932
7.34,9178.8,286.068
7.345,9186.145,286.416
7.349,9193.494,286.765
7.354,9200.848,284.154
7.358,9208.206,285.974
7.363,9215.569,292.381
7.376,9222.945,296.586
7.399,9230.344,299.99
7.403,9237.747,312.098
7.412,9245.159,314.61
7.425,9252.584,315.75
7.434,9260.018,304.535
7.443,9267.461,303.626
7.448,9274.909,297.591
7.452,9282.361,299.525
7.457,9289.818,304.721
7.47,9297.288,316.012
7.483,9304.771,322.524
7.501,9312.272,322.246
7.515,9319.787,325.226
7.524,9327.311,322.358
7.533,9334.844,324.94
7.546,9342.39,329.804
7.555,9349.945,336.319
7.564,9357.509,343.064
7.586,9365.095,351.294
7.604,9372.699,359.409
7.622,9380.321,365.559
7.64,9387.961,386.356
7.644,9395.605,399.788
7.662,9403.267,412.741
7.68,9410.947,442.111
7.698,9418.645,464.672
7.716,9426.361,481.654
7.729,9434.09,516.097
7.743,9441.833,593.311
7.756,9449.589,666.553
7.765,9457.354,798.239
7.778,9465.132,920.55
7.787,9472.919,1065.84
7.805,9480.724,1242.059
7.823,9488.547,1417.905
7.85,9496.397,1653.062
7.872,9504.269,1974.206
823.086,10327.355,0
8.883,10336.238,1489.449
8.784,10345.022,1008.45
8.708,10353.73,757.882
8.646,10362.376,651.255
8.574,10370.95,609.279
8.494,10379.444,583.661
8.418,10387.862,587.245
8.351,10396.213,607.563
8.288,10404.501,625.209
8.226,10412.727,589.486
8.167,10420.894,548.377
8.123,10429.017,513.408
8.074,10437.091,471.238
8.029,10445.12,438.072
7.975,10453.095,415.613
7.926,10461.021,400.241
7.881,10468.902,376.894
7.828,10476.73,361.036
7.783,10484.513,352.844
7.738,10492.251,341.008
7.694,10499.945,333.355
7.653,10507.598,326.272
7.609,10515.207,324.244
7.568,10522.775,315.621
7.533,10530.308,306.028
7.492,10537.8,301.174
7.466,10545.266,295.907
7.434,10552.7,288.917
7.425,10560.125,285.297
7.43,10567.555,293.079
7.434,10574.989,294.968
7.421,10582.41,289.36
7.416,10589.826,295.096
7.403,10597.229,286.49
7.39,10604.619,281.128
7.385,10612.004,277.98
7.381,10619.385,281.872
7.381,10626.766,280.448
7.403,10634.169,289.459
7.425,10641.594,300.553
7.439,10649.033,296.877
7.452,10656.485,306.001
7.461,10663.946,301.841
7.466,10671.412,307.104
7.479,10678.891,304.912
7.497,10686.388,304.742
7.506,10693.894,307.103
7.51,10701.404,310.793
7.51,10708.914,305.833
7.519,10716.433,300.175
7.528,10723.961,308.934
7.542,10731.503,310.036
7.555,10739.058,309.485
7.564,10746.622,320.445
7.582,10754.204,327.358
7.591,10761.795,335.63
7.6,10769.395,340.311
7.618,10777.013,352.09
7.622,10784.635,356.75
7.627,10792.262,365.988
7.64,10799.902,378.973
7.649,10807.551,402.96
7.667,10815.218,437.352
7.685,10822.903,477.755
7.702,10830.605,530.505
7.72,10838.325,584.218
7.729,10846.054,641.047
7.747,10853.801,695.246
7.761,10861.562,748.703
7.77,10869.332,809.673
7.792,10877.124,884.139
7.801,10884.925,954.336
7.819,10892.744,1056.213
7.832,10900.576,1226.088
7.859,10908.435,1464.175
7.877,10916.312,1807.039
39.581,10955.893,0
7.957,10963.85,1792.921
7.966,10971.816,1244.044
7.984,10979.8,941.754
7.998,10987.798,749.42
8.002,10995.8,604.374
8.02,11003.82,546.371
8.033,11011.853,522.095
8.06,11019.913,483.387
8.065,11027.978,476.96
8.051,11036.029,458.869
8.011,11044.04,416.678
7.989,11052.029,394.266
7.948,11059.977,385.63
7.917,11067.894,367.208
7.895,11075.789,360.988
7.872,11083.661,363.072
7.841,11091.502,346.262
7.805,11099.307,332.101
7.774,11107.081,324.242
7.743,11114.824,321.637
7.716,11122.54,317.74
7.707,11130.247,317.004
7.689,11137.936,315.535
7.671,11145.607,314.069
7.649,11153.256,307.413
7.618,11160.874,301.791
7.586,11168.46,300.852
7.559,11176.019,297.204
7.533,11183.552,293.601
7.519,11191.071,291.079
7.51,11198.581,287.483
7.519,11206.1,286.734
7.519,11213.619,288.168
7.51,11221.129,284.637
7.519,11228.648,292.556
7.519,11236.167,297.08
7.524,11243.691,295.908
7.542,11251.233,298.849
7.551,11258.784,301.11
7.559,11266.343,300.268
7.573,11273.916,304.473
7.573,11281.489,306.067
7.577,11289.066,311.319
7.586,11296.652,315.409
7.6,11304.252,308.239
7.613,11311.865,310.956
7.622,11319.487,316.687
7.64,11327.127,316.483
7.649,11334.776,318.92
7.658,11342.434,326.654
7.671,11350.105,333.262
7.685,11357.79,334.428
7.694,11365.484,335.207
7.711,11373.195,340.551
7.72,11380.915,339.434
7.734,11388.649,342.528
7.743,11396.392,343.32
7.756,11404.148,354.468
7.765,11411.913,363.694
7.77,11419.683,379.847
7.778,11427.461,411.179
7.792,11435.253,442.069
7.805,11443.058,470.477
7.828,11450.886,503.703
7.846,11458.732,536.281
7.854,11466.586,561.499
7.854,11474.44,635.232
7.863,11482.303,716.263
7.872,11490.175,842.328
7.881,11498.056,1055.303
7.899,11505.955,1298.078
7.917,11513.872,1558.393
7.926,11521.798,1940.561
616.745,12138.543,0
196.148,12334.691,0
8.918,12343.609,1842.71
8.825,12352.434,1301.332
8.713,12361.147,979.536
8.641,12369.788,792.896
8.57,12378.358,712.982
8.503,12386.861,669.965
8.427,12395.288,634.953
8.351,12403.639,623.552
8.279,12411.918,646.967
8.226,12420.144,669.61
8.167,12428.311,660.182
8.118,12436.429,645.985
8.06,12444.489,591.285
8.015,12452.504,532.45
7.966,12460.47,472.192
7.917,12468.387,423.14
7.872,12476.259,389.967
7.828,12484.087,374.007
7.783,12491.87,350.84
7.738,12499.608,333.555
7.707,12507.315,329.064
7.662,12514.977,328.832
7.609,12522.586,312.235
7.573,12530.159,306.067
7.542,12537.701,305.141
7.51,12545.211,299.462
7.475,12552.686,293.558
7.461,12560.147,300.244
7.47,12567.617,304.183
7.488,12575.105,302.407
7.483,12582.588,298.883
7.475,12590.063,289.088
7.461,12597.524,274.136
7.457,12604.981,280.585
7.452,12612.433,288.828
7.448,12619.881,289.961
7.457,12627.338,293.669
7.461,12634.799,305.087
7.461,12642.26,303.455
7.466,12649.726,294.374
7.461,12657.187,292.506
7.452,12664.639,294.845
7.452,12672.091,291.805
7.443,12679.534,291.106
7.43,12686.964,288.57
7.443,12694.407,297.234
7.461,12701.868,295.553
7.483,12709.351,302.046
7.501,12716.852,310.053
7.501,12724.353,315.164
7.506,12731.859,319.046
7.519,12739.378,321.975
7.537,12746.915,318.176
7.551,12754.466,314.131
7.564,12762.03,318.694
7.573,12769.603,319.447
7.586,12777.189,318.838
7.591,12784.78,333.723
7.604,12792.384,336.817
7.622,12800.006,340.348
7.631,12807.637,343.119
7.653,12815.29,349.169
7.662,12822.952,349.985
7.667,12830.619,363.135
7.685,12838.304,385.879
7.694,12845.998,413.269
7.698,12853.696,454.191
7.707,12861.403,513.117
7.725,12869.128,568.496
7.734,12876.862,648.617
7.738,12884.6,744.396
7.756,12892.356,851.707
7.774,12900.13,993.645
7.778,12907.908,1258.711
7.805,12915.713,1634.288
63.055,12978.768,0
7.944,12986.712,1891.994
7.957,12994.669,1265.592
7.966,13002.635,898.476
7.98,13010.615,676.128
7.993,13018.608,556.638
8.015,13026.623,496.147
8.024,13034.647,462.237
8.029,13042.676,443.992
8.006,13050.682,441.523
7.962,13058.644,430.785
7.908,13066.552,400.943
7.85,13074.402,383.027
7.805,13082.207,371.874
7.761,13089.968,361.139
7.725,13097.693,357.818
7.685,13105.378,356.196
7.658,13113.036,349.577
7.627,13120.663,350.829
7.595,13128.258,343.886
7.564,13135.822,324.005
7.533,13143.355,310.964
7.497,13150.852,313.068
7.479,13158.331,306.551
7.466,13165.797,291.355
7.466,13173.263,295.907
7.466,13180.729,299.022
7.434,13188.163,287.443
7.399,13195.562,284.684
7.376,13202.938,287.365
7.358,13210.296,285.974
7.345,13217.641,284.932
7.34,13224.981,286.068
7.345,13232.326,286.416
7.349,13239.675,286.765
7.354,13247.029,284.154
7.358,13254.387,285.974
7.363,13261.75,292.381
7.376,13269.126,296.586
7.399,13276.525,299.99
7.403,13283.928,312.098
7.412,13291.34,314.61
7.425,13298.765,315.75
7.434,13306.199,304.535
7.443,13313.642,303.626
7.448,13321.09,297.591
7.452,13328.542,299.525
7.457,13335.999,304.721
7.47,13343.469,316.012
7.483,13350.952,322.524
7.501,13358.453,322.246
7.515,13365.968,325.226
7.524,13373.492,322.358
7.533,13381.025,324.94
7.546,13388.571,329.804
7.555,13396.126,336.319
7.564,13403.69,343.064
7.586,13411.276,351.294
7.604,13418.88,359.409
7.622,13426.502,365.559
7.64,13434.142,386.356
7.644,13441.786,399.788
7.662,13449.448,412.741
7.68,13457.128,442.111
7.698,13464.826,464.672
